Edge Case Type,Text,Expected Label,Predicted Label,Correct,P(Normal) %,P(Depression) %,P(Suicidal) %,P(Anxiety) %,P(Stress) %,P(Bipolar) %,P(Personality disorder) %,Note
Sarcasm,"Great, another day where I can't find the motivation to get out of bed, really thriving over here.",Depression,Normal,FALSE,98.9,0.2,0.1,0.4,0.1,0.3,0.1,
Sarcasm,"Perfect, spilled coffee all over my shirt right before the meeting, off to a great start.",Normal,Normal,TRUE,99.8,0,0,0,0,0,0,
Sarcasm,"Love how my inbox somehow doubled overnight, definitely going to be a relaxing week.",Stress,Normal,FALSE,99.7,0,0,0.1,0,0,0,
Sarcasm,"Oh good, my mind is racing through worst case scenarios again at 2am, exactly what I needed.",Anxiety,Normal,FALSE,99.6,0,0.2,0.1,0,0,0,
Sarcasm,"Sure, I'm 'doing great,' that's why I've cancelled plans with everyone three weekends in a row.",Depression,Normal,FALSE,99.8,0,0,0,0,0,0,
Sarcasm,"Oh I'm SO fine, definitely not lying awake calculating how much easier it would be for everyone if I just wasn't here anymore, nothing to see here.",Suicidal,Normal,FALSE,91.9,2.1,0.9,2,1.5,0.5,0.9,
Sarcasm,"Great, another 'friend' who disappears the second things get hard, must be something about me right? Awesome pattern I've got going, really love collecting people just to lose them.",Personality disorder,Personality disorder,TRUE,24.1,2.7,0.9,7.2,1.2,14.4,49.6,
Temporal blindness,"I used to struggle with anxiety attacks in college, but I haven't had one in years and feel completely fine now.",Normal,Anxiety,FALSE,6.8,0.2,0.1,86.8,5.6,0.2,0.2,
Temporal blindness,"I went through a rough depressive episode after my divorce, but that was five years ago and I'm honestly in a really good place now.",Normal,Depression,FALSE,9.4,46.3,0.9,1,17.9,24.1,0.4,
Temporal blindness,I've been anxious about this move for weeks now and it's still eating at me every single day.,Anxiety,Anxiety,TRUE,0.2,0.1,0,98.7,0.9,0.1,0.1,
Temporal blindness,"Ever since the new project started last month, I've been stressed out non-stop and it hasn't let up.",Stress,Normal,FALSE,81.1,0.2,0.1,1.1,17.3,0.1,0.1,
Temporal blindness,I've felt this heavy sadness since the breakup two months ago and it still hasn't gone away.,Depression,Normal,FALSE,68.2,1.9,0.3,1.8,26.5,0.8,0.5,
Temporal blindness,"I had panic attacks daily back in high school, but that stopped once I graduated and I've been panic-free for almost a decade.",Normal,Anxiety,FALSE,24.5,0.7,0.2,41.7,24.1,2.4,6.5,
Temporal blindness,I had a manic episode last year and I'm still cycling between highs and crashes most months.,Bipolar,Bipolar,TRUE,0.1,0.2,0.1,1.4,0.4,97.8,0.1,
Temporal blindness,"I used to have really bad social anxiety, but after a few years of practice I actually enjoy parties now.",Normal,Normal,TRUE,98.9,0.2,0.1,0.3,0.2,0,0.3,
Temporal blindness,"I told my therapist I 'used to' think about not waking up, but honestly some nights it's still there, I just don't say it out loud anymore.",Suicidal,Normal,FALSE,96.8,0.9,0.1,0.4,0.9,0.5,0.4,
Temporal blindness,"I used to tell people my relationships 'just didn't work out,' but looking back, every single one ended the same way, me either clinging so hard they ran or pushing them away before they could leave first, and honestly that hasn't really changed.",Personality disorder,Normal,FALSE,55.1,0.8,0.2,0.6,33.3,0.9,9.2,
Minimized distress,"I've been swamped with work lately, staying late most nights and barely keeping up, but I think I just need a lighter week.",Stress,Normal,FALSE,95.9,0.1,0,0.5,3.3,0.1,0,
Minimized distress,"I'm okay I guess, just haven't felt like myself in weeks and everything feels kind of pointless.",Depression,Anxiety,FALSE,6.6,28.9,0.6,39.1,21.7,2.2,1,
Minimized distress,"It's nothing, I just get really panicky before flights, my heart races and I can't sit still.",Anxiety,Anxiety,TRUE,3.1,0.4,0.1,89.6,6.5,0.3,0.1,
Minimized distress,"No big deal, just been crying more than usual and struggling to get out of bed most mornings.",Depression,Normal,FALSE,96.7,1.3,0.1,1.4,0.3,0.1,0,
Minimized distress,"It's fine honestly, just thinking too much right now and feeling constantly worried about stuff.",Anxiety,Anxiety,TRUE,0.4,0.1,0,98.9,0.5,0.1,0,
Minimized distress,"Not a big thing, I just can't stop worrying about everything lately, my mind won't slow down.",Anxiety,Anxiety,TRUE,0.6,0.1,0,98.8,0.4,0.1,0,
Minimized distress,"It's nothing serious, I just go through these weeks where I barely sleep and work way too much, then crash hard after.",Stress,Stress,TRUE,18,5.9,0.3,2,71.7,1.8,0.2,
Minimized distress,"I'm managing, just feel numb most days and nothing really excites me like it used to.",Depression,Depression,TRUE,0.7,57.5,0.4,31,5.3,4.7,0.3,
Minimized distress,"It's nothing really, I've just been having thoughts about wanting to end my life, but don't make a big deal out of it, I'll be fine.",Suicidal,Depression,FALSE,9,46.6,30.5,1.2,7.6,3.3,1.9,
Minimized distress,"I don't mean to bother anyone, and I know everyone here has much bigger problems than me, but I've been feeling a bit overwhelmed lately. Sorry for wasting your time.",Stress,Stress,TRUE,25.4,1.1,0.2,29.1,41.2,1.2,1.9,
